image,discovery,scientist,year,field,excerpt
,Newton's Prism Experiments on Color,Isaac Newton,1670,optics,"During the 1670s Isaac Newton passed a beam of white light through a prism, split it into a spectrum of colors, and then recombined those colors into white light again with a second prism. This overturned the long-held belief that glass somehow tinted or added color to light, proving instead that color is an intrinsic property of light itself. The work established a foundation for the study of the spectrum, even as Newton's conviction that light was a stream of particles would dominate physics for more than a century."
https://upload.wikimedia.org/wikipedia/commons/e/ee/SOFIA_2.5M_Primary_Mirror.jpg,Newton's Reflecting Telescope,Isaac Newton,1671,optics,"In 1671 Newton built the first practical reflecting telescope, using curved mirrors rather than lenses to gather and focus light. This clever design sidestepped the colored fringes that spoiled the crude refracting instruments of his day. Presenting a model to the Royal Society earned Newton membership and his first real notice beyond Cambridge, drawing the attention of figures like Edmund Halley who would later prove crucial to his career."
,Papin's Pressure Cooker,Denis Papin,1679,thermodynamics,"Part physicist and part gourmet, Papin sealed a vessel to trap steam under pressure and produced heat well above the ordinary boiling point of water. Though he could not yet explain that higher pressure forces molecules to work harder to escape a liquid, he grasped the crucial link between pressure and boiling temperature. His invention foreshadowed the pressurized steam that would later drive engines."
,The Wager on the Inverse-Square Force,Edmond Halley,1684,mechanics,"During a 1684 gathering in London, Christopher Wren, Robert Hooke, and Edmond Halley debated whether the force holding the planets in orbit fell off as the inverse square of distance, and whether such a law could be derived from Kepler's observations. Wren offered a prize to whoever could supply the proof, but neither Hooke's boasts nor Halley's efforts could crack a problem that secretly required calculus. Frustrated, Halley carried the question to Isaac Newton at Cambridge, setting in motion the work that would become modern physics."
,Newton's Principia,Isaac Newton,1687,mechanics,"Goaded by Halley's encouragement and by Hooke's claims of priority, the reclusive Newton finally published his Principia in 1687, a sweeping mathematical treatment of force, motion, and universal gravitation. In it he laid out his three laws of motion and proved that gravity acting as an inverse-square force compels the planets to obey Kepler's laws, while also accounting for the tides and the slow precession of the Earth's axis. The work established the vision of a clockwork, law-governed universe that would dominate scientific thought for two centuries."
,Savery's Miner's Friend,Thomas Savery,1698,thermodynamics,"Savery patented a steam-driven device meant to force floodwater out of mines, marketing it as the Miner's Friend. In practice it failed commercially, defeated by the era's crude metalworking and by steam that condensed uselessly in the cold, uninsulated pipes. Yet it planted the idea of harnessing steam for work, setting minds like Thomas Newcomen's to the problem."
,Darby's Coal Smelting of Iron,Abraham Darby,1709,thermodynamics,"Darby worked out how to refine iron using coal-derived fuel in place of the increasingly scarce and costly charcoal. Since charcoal had to be manufactured by slowly heating wood while coal could simply be dug from the ground, the change reshaped the economics of ironmaking. It also fed a growing hunger for coal that would help drive the age of steam."
https://upload.wikimedia.org/wikipedia/commons/1/16/Newcomen_atmospheric_engine_animation.gif,Newcomen's Steam Engine,Thomas Newcomen,1712,thermodynamics,"After roughly twelve years of effort, Newcomen built a towering steam engine that filled a huge cylinder with steam, then sprayed in cold water to condense it and let atmospheric pressure slam the piston down. Delivering some thirteen tons of force per stroke, it finally gave miners a way to clear deep flooding, though its violent, banging action made it dangerous enough that boys were posted to listen for breaking chains.\n\nThe machines were enormously expensive and barely within the manufacturing skill of the day, yet they worked. Within decades hundreds dotted the English countryside, becoming as characteristic of the landscape as oil derricks in a later era."
,Charging an Insulated Conductor,Charles Du Fay,1734,electricity & magnetism,"Working in Paris, Charles Du Fay corrected a subtle but important error in the understanding of conductors and insulators. Earlier investigators believed metals simply could not hold a static charge, but Du Fay showed that a conductor could indeed retain charge provided it was first isolated from the ground by an insulating support. Without that separation, any excess electrons drain instantly into the Earth, a distinction that proved essential to controlling electricity."
https://upload.wikimedia.org/wikipedia/commons/6/68/Carl_von_Linn%C3%A9.jpg,Binomial Nomenclature,Carl Linnaeus,1735,biology,"With Systema Naturae, Linnaeus introduced the two-part Latin naming system that gives every living thing a genus and species, bringing order to a chaos of local names and vague descriptions. His hierarchical scheme let naturalists across the world finally speak of the same organism with the same word, and it remains the backbone of biological classification today."
,Bernoulli's Kinetic Theory of Gases,Daniel Bernoulli,1738,thermodynamics,"Bernoulli pictured a gas as countless hard, perfectly elastic particles flying about and colliding like corn in a popper, with pressure arising from their ceaseless drumming against the walls. He even showed mathematically that such a swarm would obey Boyle's Law. Ahead of its time, the idea was largely dismissed, since atoms were still deemed too speculative and Newtonian intuition expected particles to drift and interact like tiny planets."
https://upload.wikimedia.org/wikipedia/commons/4/45/Early_Layden_jar.png,Invention of the Leyden Jar,Pieter van Musschenbroek,1745,electricity & magnetism,"In Leyden, Holland, Pieter van Musschenbroek devised a glass jar lined inside and out with metal foil that could store a startlingly large static charge. The Leyden jar became physics's first practical capacitor, letting experimenters accumulate and suddenly release enough electricity to deliver a dangerous, even paralyzing, shock. It transformed electrical study from a matter of feeble sparks into a source of dramatic and controllable discharges."
,Nollet's Monk Chain Demonstration,Jean-Antoine Nollet,1750,electricity & magnetism,"The French physicist Abbe Nollet staged a spectacular demonstration in which roughly a thousand Carthusian monks joined hands in a circle hundreds of feet across before a massive Leyden jar was discharged into the human chain. Every monk leapt into the air at essentially the same instant, vividly showing that an electric discharge travels through a conductor almost instantaneously. Beyond its theatrical flair, the experiment offered early evidence of the enormous speed at which electricity propagates."
https://upload.wikimedia.org/wikipedia/commons/5/5f/Benjamin_West%2C_English_%28born_America%29_-_Benjamin_Franklin_Drawing_Electricity_from_the_Sky_-_Google_Art_Project.jpg,Franklin's Kite Experiment,Benjamin Franklin,1752,electricity & magnetism,"During a June thunderstorm Benjamin Franklin flew a kite into the clouds and used its wet string to charge a Leyden jar, demonstrating that a storm cloud carries electric charge and that lightning is nothing more than a colossal electric spark. From this extraordinarily hazardous test Franklin drew a practical triumph: the lightning rod, a grounded metal spike that safely channels a strike away from a building.\n\nHailed across Enlightenment Europe as reason conquering nature, the discovery cemented Franklin's scientific reputation and reshaped how people understood one of nature's most feared forces."
,Black's Discovery of Heat Capacity,Joseph Black,1760,thermodynamics,"Asked by brewer friends why boiling water devoured so much coal, Black investigated and uncovered the law of heat capacity, showing that the heat needed depends on a substance's mass, its temperature change, and a characteristic constant unique to each material. He read his findings as support for caloric, the imagined fluid then thought to carry heat between bodies. His quantitative approach nonetheless put the measurement of heat on a firm footing."
https://upload.wikimedia.org/wikipedia/commons/2/22/Carnot_heat_engine_2.svg,Black and Latent Heat,Joseph Black,1762,thermodynamics,"Black identified latent heat, the extra energy a substance must absorb to melt or boil beyond what merely raises its temperature, and which it must release again to condense or freeze. The concept explained why so much fuel was consumed simply turning water into steam. He had to disappoint his brewing friends: there was no trick to escape water's stubborn latent heat."
https://upload.wikimedia.org/wikipedia/commons/9/9e/Maquina_vapor_Watt_ETSIIM.jpg,Watt Repairs a Newcomen Engine,James Watt,1764,thermodynamics,"Tasked with fixing a model Newcomen engine at the University of Edinburgh, Watt was struck by how appallingly wasteful it was, squandering nearly all its fuel by repeatedly reheating and recooling the same iron cylinder. Learning of heat capacity from Joseph Black, he saw the root of the problem clearly. He began sketching a design that would condense the spent steam in a separate chamber, keeping the working cylinder always hot."
,The First Balloon Flights,Montgolfier brothers,1783,thermodynamics,"The Montgolfier brothers sent aloft the first hot-air balloon, and when asked what use the marvel could possibly be, one reportedly answered by comparing it to a newborn baby. Later that same year the physicist Jacques Charles recognized that hydrogen would give far greater and more lasting lift, and launched the first hydrogen balloon. Together the flights turned the behavior of heated and lightweight gases into public spectacle."
https://upload.wikimedia.org/wikipedia/commons/9/9e/Maquina_vapor_Watt_ETSIIM.jpg,Watt's Steam Engine,James Watt,1784,thermodynamics,"Backed by the entrepreneur Matthew Boulton, Watt perfected an engine that turned steam power into smooth, continuous rotation suitable for driving factory machinery. A separate condenser made it several times more efficient than Newcomen's, while a double-acting piston, sun-and-planet gearing, and a centrifugal governor gave it power, versatility, and self-regulating control.\n\nThough unrecognized at the time, this machine effectively launched the Industrial Revolution. Like its predecessors it still worked at atmospheric pressure, with steam serving mainly to enable the vacuum that drove the piston."
https://upload.wikimedia.org/wikipedia/commons/1/1f/CoulombsLaw_scal.svg,Coulomb's Law,Charles Coulomb,1785,electricity & magnetism,"In Paris, Charles Coulomb used a delicate torsion balance, a charged ball suspended from a fine wire inside a glass chamber, to make the first precise measurement of the force between electric charges. He found that the force grows with the product of the charges and falls off with the square of the distance between them, a relationship strikingly parallel to Newton's law of gravitation. This quantitative law turned electrostatics into a rigorous, mathematical science."
https://upload.wikimedia.org/wikipedia/commons/e/e4/Charles_and_Gay-Lussac%27s_Law_animated.gif,Charles's Law,Jacques Charles,1787,thermodynamics,"Charles found that a gas near the freezing point of water expands or contracts by about one part in 273 for every degree Celsius of temperature change. Taken literally, the rule implied the unsettling conclusion that a gas would vanish entirely at minus 273 degrees. With no means of artificial refrigeration, no one in 1787 could put that startling extrapolation to the test."
,Lavoisier and Conservation of Mass,Antoine Lavoisier,1789,chemistry,"Widely regarded as the founder of modern chemistry, Lavoisier articulated the principle that mass is conserved through chemical reactions, so that matter is neither created nor destroyed but only rearranged. This insight brought rigor and bookkeeping to chemistry, replacing vague qualitative notions with careful measurement. It became a cornerstone of the atomic understanding of matter that soon followed."
,Rumford's Cannon-Boring Experiment,Count Rumford,1798,thermodynamics,"Overseeing the boring of cannon barrels in 1798, Count Rumford noticed that the cooling water kept heating up even after the drills had grown too dull to cut away any metal. This contradicted the prevailing caloric theory, which held that heat was a fluid squeezed out of the shavings. In a public demonstration he rubbed blunt rods against metal until the water boiled with no shavings produced at all, arguing that motion itself generates heat."
,The Wave Theory of Light Confirmed,Thomas Young,1800,optics,"Just after 1800, Thomas Young, Augustin Fresnel, and others began passing light through extremely narrow slits and observed clear diffraction and interference patterns, hallmarks of wave behavior that particles cannot produce. Because light's wavelength is so tiny, these effects are difficult to detect, and it took until around 1830 for the evidence to become widely convincing. Their work revived the wave picture championed earlier by Huygens and finally displaced Newton's long-dominant particle theory."
,Dalton's Atomic Theory,John Dalton,1801,chemistry,"Observing that elements always combine in fixed weight ratios, Dalton reasoned that each element must be built from atoms of a definite characteristic weight. Compounds then form in whole-number proportions because they are assembled from these indivisible units. His theory gave chemistry a concrete atomic foundation and a way to make sense of its measured regularities."
,The Ideal Gas Law,Joseph Gay-Lussac,1802,thermodynamics,"Independently rediscovering the temperature-volume behavior found by Charles, Gay-Lussac merged it with Boyle's Law into a single relation linking pressure, volume, and temperature. The combined expression became known as the Ideal Gas Law. Though later understood to be only an approximation that no real gas obeys perfectly, it proved accurate enough for the vast majority of practical situations."
,Trevithick's Locomotive,Richard Trevithick,1804,thermodynamics,"Pushing steam engines toward the lighter, high-pressure designs everyone knew could power vehicles, Trevithick built a locomotive that hauled loaded coaches along rails at about five miles per hour. He first showed it off on a circular track, charging spectators for the novelty of a ride. Soon his engine was hauling coal from Welsh mines, earning it a reputation as the first practical locomotive."
,Fulton's Steamboat,Robert Fulton,1807,thermodynamics,"Fulton fitted a steam engine to the boat Clermont and launched the first commercially successful steamboat service. Where earlier steam power had freed mines of water and driven factory looms, it now propelled vessels reliably against current and wind. The venture proved that steam could reshape transportation as thoroughly as it had industry."
,Avogadro's Hypothesis,Amedeo Avogadro,1811,chemistry,"Puzzling over conflicting accounts of how gases combine, Avogadro proposed that equal volumes of any gases at the same temperature and pressure contain the same number of molecules. Acceptance came slowly, but the idea eventually clarified the meaning of the constant in the gas law, revealing it as the molecule count times a universal quantity now called Boltzmann's constant."
,Fraunhofer Lines Discovered,Joseph Fraunhofer,1814,optics,"While testing an exceptionally fine prism he had crafted, the German optician Joseph Fraunhofer discovered that sunlight spread into a spectrum was not a smooth rainbow but was crossed by dozens of narrow dark lines. Earlier observers had missed them because their instruments were too crude to reveal such detail. The origin of these lines baffled physicists and would remain unexplained for roughly forty-five years."
,Oersted Links Electricity and Magnetism,Hans Christian Oersted,1819,electricity & magnetism,"While lecturing at the University of Copenhagen on electric currents and magnets, Hans Christian Oersted noticed that a compass needle left beside a current-carrying wire deflected whenever current flowed. This chance observation, remarkably made in front of a live audience, revealed that an electric current generates a magnetic field around it. It was the first concrete demonstration that electricity and magnetism are intimately connected, opening the road to electromagnetism."
,Carnot and the Limits of Heat Engines,Sadi Carnot,1824,thermodynamics,"Engineers had noticed with astonishment that high-pressure steam engines could be several times more efficient than Watt's, yet no one understood why. In On the Motive Power of Fire, Carnot showed that the maximum possible efficiency of any heat engine depends solely on the temperatures between which it operates, not on its clever mechanical details.\n\nBecause higher pressure means hotter steam, his result explained the mystery at a stroke and revealed a fundamental ceiling on how much work heat can yield. It spurred engineers to chase ever higher steam temperatures in pursuit of both power and economy."
,Joule's Mechanical Equivalent of Heat,James Joule,1843,energy,"In 1843 James Joule measured how tightly mechanical work and heat are linked by letting falling weights drive paddles that churned water inside insulated calorimeters. By tracking how much the stirring warmed the water, he pinned down the conversion between the two, finding that one calorie equals about 4.186 joules. His precise result gave concrete numerical footing to the emerging idea that all forms of energy are interchangeable."
,Conservation of Energy,Hermann Helmholtz,1847,energy,"Drawing on Joule's experiments and other reasoning, Hermann Helmholtz set out the Principle of Conservation of Energy in 1847. The principle holds that energy may shift endlessly among its many forms or move from place to place, yet the total amount in the universe never changes and can be neither created nor destroyed. This unifying idea became one of the central pillars of physics, tying together heat, motion, light, and every other guise energy can take."
,Kelvin and Absolute Zero,William Thomson (Lord Kelvin),1848,thermodynamics,"Reinterpreting Charles's Law, Thomson realized that its extrapolation to minus 273 degrees did not mean a gas literally vanishes, but rather that the thermal motion of its atoms ceases entirely. He named this ultimate cold absolute zero and defined a new temperature scale starting from it. Measured on this Kelvin scale, the gas laws take their cleanest and most meaningful form."
,Fizeau Measures the Speed of Light,Armand Fizeau,1848,optics,"The French physicist Armand Fizeau achieved the first terrestrial measurement of the speed of light, sending a beam through the gaps of a rapidly spinning toothed wheel and reflecting it off a mirror about five miles away. By adjusting the wheel's rotation until a returning flash was blocked by the next tooth, he could calculate light's velocity. The feat proved that this immense speed, once thought unmeasurable, could be pinned down with clever mechanical ingenuity here on Earth."
,Foucault: Light Travels Slower in Water,Jean Foucault,1849,optics,"Using a pair of rapidly rotating mirrors, Jean Foucault measured how fast light travels through a column of water and found it slower than through air. This result was a decisive verdict in the century-old contest between the wave and particle theories: Newton's corpuscular model predicted light should speed up in a dense medium, while the wave theory predicted it should slow down. Foucault's finding fell squarely on the side of waves."
https://upload.wikimedia.org/wikipedia/commons/2/22/Carnot_heat_engine_2.svg,The Second Law of Thermodynamics,Rudolf Clausius,1850,thermodynamics,"Clausius generalized Carnot's insights into what became the Second Law of Thermodynamics, capturing the universe's relentless drift toward disorder. Just as a drop of dye spreads until a glass of water is uniformly tinted, systems tend toward their most probable, randomized states, which is why heat naturally flows from hot to cold.\n\nStrictly speaking the law is statistical rather than absolute, but because real systems contain astronomically many particles, the odds of a violation are so vanishingly small that it holds as firmly as any law in physics."
,Physics Challenges the Age of the Earth,William Thomson (Lord Kelvin),1853,thermodynamics,"As geologists and biologists began arguing that slow natural processes demanded an Earth hundreds of millions of years old, physicists pushed back hard. Lord Kelvin used classical thermodynamics to argue that so ancient an Earth would have cooled into inert rock incapable of volcanism, while Helmholtz calculated that a Sun powered only by gravitational contraction could be no more than about 18 million years old.\n\nThe clash left an enormous gap between the life sciences and physics that persisted for half a century. Under the weight of the criticism, Darwin quietly dropped his specific age estimate from later editions of his work."
,Glowing Vacuum Discharge Tube,Julius Plucker,1858,electricity & magnetism,"Julius Plucker sealed metal plates into an evacuated glass tube and applied a high voltage across them, hoping to coax a visible electric fluid into the open. Instead of any fluid, the tube glowed an eerie green, and he found that a magnet could shift the pattern of the light. He was unknowingly watching free electrons stream across the vacuum and strike the glass, an early hint of the particles that carry electric current."
https://upload.wikimedia.org/wikipedia/commons/2/2e/Charles_Darwin_seated_crop.jpg,Evolution by Natural Selection,Charles Darwin,1859,biology,"Drawing on decades of observation since his voyage aboard the Beagle, Darwin argued in On the Origin of Species that species are not fixed but change over generations as individuals better suited to their environment survive and reproduce. The book met fierce resistance for placing humanity within the web of life rather than above it.\n\nIt became the unifying framework of modern biology, tying together anatomy, geology, and the fossil record into a single sweeping story."
,Spectral Fingerprints of Elements,Gustav Kirchhoff,1859,optics,"Studying the bright lines emitted by glowing elements, Gustav Kirchhoff recognized that each element produces its own unique pattern of frequencies, a kind of spectral fingerprint. He reasoned that the dark lines in the Sun's spectrum and the bright lines from heated laboratory gases were two sides of the same phenomenon: gases in the solar atmosphere absorb exactly the frequencies they would emit if heated. What he still could not explain was how atoms produced these lines in the first place."
https://upload.wikimedia.org/wikipedia/commons/6/6d/Translational_motion.gif,Maxwell's Kinetic Theory of Gases,James Clerk Maxwell,1859,thermodynamics,"Maxwell placed the old kinetic picture of Bernoulli on rigorous mathematical ground, deriving how the speeds of molecules in a gas must be spread across a characteristic bell-shaped curve, now called the Maxwell-Boltzmann distribution. His work tied the average kinetic energy of the molecules directly to the absolute temperature. It marked a triumph of the statistical view of matter, showing that the behavior of countless invisible particles could be captured by precise law."
,The Black Body Concept,Gustav Kirchhoff,1860,thermodynamics,"To sidestep the confusing tangle of spectral lines, Kirchhoff proposed studying light inside a sealed, red-hot chamber viewed through a tiny hole. Because the atoms lining such a cavity both emit and reabsorb their own lines, the escaping radiation forms a smooth, continuous spectrum. This idealized cavity became known as a black body and was seen as the perfect testbed for how heat turns into light."
https://upload.wikimedia.org/wikipedia/commons/c/cd/James_Clerk_Maxwell_Statue_Equations.jpg,Maxwell's Equations,James Clerk Maxwell,1864,electricity & magnetism,"The Scottish physicist James Clerk Maxwell distilled the whole of electricity and magnetism into a compact set of equations that unified the two forces into a single theory of electromagnetism. Remarkably, the equations predicted self-sustaining waves of oscillating electric and magnetic fields traveling through empty space, and Maxwell calculated their speed to be precisely the speed of light, leading him to propose that light itself is an electromagnetic wave.\n\nThough not immediately embraced outside Britain, this synthesis became one of the towering achievements of nineteenth-century physics and set the stage for the discovery of the entire electromagnetic spectrum."
https://upload.wikimedia.org/wikipedia/commons/a/af/Dmitri_Mendeleev.jpg,The Periodic Table,Dmitri Mendeleev,1869,chemistry,"Mendeleev arranged the known elements by atomic weight into rows and columns that grouped substances with similar properties, and boldly left gaps where no element was yet known. When gallium and germanium were later discovered with almost exactly the properties he had predicted for the empty slots, the periodic table was vindicated as one of science's great organizing ideas."
,Cathode Rays Named,Eugen Goldstein,1876,electricity & magnetism,"Continuing Plucker's experiments with current flowing through a vacuum, Eugen Goldstein placed obstacles inside the tube and observed that the glass fluoresced because of a beam streaming from the negative plate, the cathode. He coined the term cathode ray for this mysterious beam. The name would stick to what we now call electrons for the next three decades."
https://upload.wikimedia.org/wikipedia/commons/2/22/Gas_discharge_tube%2C_named_after_William_Crookes%2C_c._1890_-_R%C3%B6ntgen-Ged%C3%A4chtnisst%C3%A4tte_W%C3%BCrzburg_-_W%C3%BCrzburg%2C_Germany_-_DSC04264.jpg,The Crookes Tube,William Crookes,1880,electricity & magnetism,"William Crookes built a far superior vacuum tube and used it to show that cathode rays travel in straight lines, cast crisp shadows, and carry a negative charge. In one striking demonstration he placed a tiny paddle wheel in the tube and watched the rays set it spinning, as if pushed by a stream of tiny projectiles. He concluded that cathode rays must be a flow of charged particles rather than some form of light."
,The Balmer Formula,Johann Balmer,1885,atomic,"Johann Balmer, a Swiss schoolteacher, spent years poring over the spectral lines of glowing hydrogen and finally uncovered a simple formula that predicted their exact frequencies using small whole numbers. He had no idea why the relationship held, but he found it compelling enough to publish. Decades later the formula would prove to be a direct window into the quantized energy levels of the atom."
,First Photoelectric Observation,Heinrich Hertz,1887,quantum,"While working with spark coils, Heinrich Hertz noticed that they sparked more readily when bathed in ultraviolet light. He did not grasp the cause, but this was the very first observation of the photoelectric effect, in which light knocks electrons loose from a metal. The ultraviolet light was freeing electrons that made it easier for a spark to jump the gap."
https://upload.wikimedia.org/wikipedia/commons/f/f4/Michelson_morley_experiment_1887.jpg,The Michelson-Morley Experiment,Michelson and Morley,1887,relativity,"At Case Western in Cleveland, Albert Michelson and Edward Morley built an exquisitely sensitive apparatus to detect the Earth's motion through the luminous ether by comparing the speed of light in different directions. To their bafflement, the speed never varied no matter how the Earth moved or how they oriented the instrument, even though it was far more sensitive than needed to catch the expected effect.\n\nThis celebrated null result, often called the most important failed experiment in history, dismantled confidence in the ether and helped clear the ground for Einstein's relativity."
,Hertz Discovers Radio Waves,Heinrich Hertz,1888,electricity & magnetism,"The German physicist Heinrich Hertz produced and detected invisible electromagnetic waves in his laboratory, confirming Maxwell's prediction that accelerating electric charges should radiate energy as waves. His discovery of what we now call radio waves caused a sensation and settled any lingering doubts about Maxwell's theory. It proved that light was just one member of a vast electromagnetic spectrum and, before long, made possible the age of wireless communication."
https://upload.wikimedia.org/wikipedia/commons/1/19/Black_body.svg,The Ultraviolet Catastrophe,,1890,thermodynamics,"By 1890 spectral lines were still regarded as an ordinary classical puzzle, likened to the harmonics of organ pipes and strings. Meanwhile, physicists measuring black body radiation found its intensity traced a bell-shaped curve against frequency. Classical theory disastrously predicted the energy should climb toward infinity at high frequencies, a failure dubbed the ultraviolet catastrophe that became one of the era's most pressing theoretical problems."
,Discovery of X-Rays,Wilhelm Roentgen,1895,electricity & magnetism,"Wilhelm Roentgen found that Crookes tubes gave off an invisible, penetrating radiation that could fog photographic plates even through paper and wood. Because magnets did not deflect the rays, they clearly were not cathode rays, and Roentgen named them X-rays after the mathematical symbol for the unknown. His famous image of the bones in his wife's hand caused a worldwide sensation, and within a few years doctors were using X-rays for diagnosis."
,The Accidental Discovery of Radioactivity,Henri Becquerel,1896,nuclear & particle,"Inspired by Roentgen's X-rays, Becquerel wondered whether phosphorescent minerals might emit X-rays as they glowed, and tested the idea by resting sun-charged minerals atop wrapped photographic plates. His results were maddeningly inconsistent until, on a cloudy day, he developed a plate that had sat in a drawer beside a barely-exposed uranium compound and found it completely fogged.\n\nThe mineral had not been glowing at all, yet it darkened the plate anyway. Becquerel traced the effect to the uranium itself, unknowingly opening the age of radioactivity."
,Alpha and Beta Rays Identified,Ernest Rutherford,1897,nuclear & particle,"Turning his attention to Becquerel's rays, Rutherford showed that the radiation was not a single thing but a blend of two distinct components. One was heavy, positively charged, and easily stopped by matter, while the other was light, negatively charged, and far more penetrating. Borrowing from the Greek alphabet, he named them alpha and beta rays, terms still in use today."
,Discovery of the Electron,J. J. Thomson,1897,atomic,"Through a careful series of experiments on cathode rays, J. J. Thomson showed they were a stream of tiny charged particles with a mass more than a thousand times smaller than a hydrogen atom. This was the discovery of the electron, the first subatomic particle ever identified. From that moment it became clear that atoms are not indivisible but are themselves built from smaller pieces."
